Source,Target,Weight
Сталин,площадью,1
Сталин,письмо,1
Сталин,писать,1
Сталин,пили,1
Сталин,печати,1
Сталин,петровскую,1
Сталин,песни,1
Сталин,перспективы,1
Сталин,переход,1
Сталин,перетаскивать,1
Сталин,переправе,1
Сталин,перепечатывая,1
Сталин,переносит,1
Сталин,переименованное,1
Сталин,перейти,1
Сталин,переживание,1
Сталин,передовые,1
Сталин,передислокации,1
Сталин,первомайском,1
Сталин,первомайский,1
Сталин,первая,1
Сталин,партию,1
Сталин,партизану,1
Сталин,партизанском,1
Сталин,партизанской,1
Сталин,партизанским,1
Сталин,партизанская,1
